id,orderportalid,orderdate_gmt,designer,style,shipper,shiptypeid,userid,isvip,country,region,ddprate,countrycode,hasusedwishlist,isreseller,hasitemsonbag,tierafterorder,tierbeforeorder,isusingmultipledevices,userfraudstatus,promocode,freereturn,issale,productid,brand,ddpsubcategory,storeid,countryoforigin,size,category_1stlevel,platform
cf2621de9012fc1dacb9340fd3658d72,146188,2018-01-18 14:07:15.126000+00:00,37921,37931,2,2,113296.0,Not VIP,55,3,0.0,55,No,No,Yes,T4,,No,4,1,1,Yes,41617,479,"Trousers, overalls, shorts",465,1,221,Clothing,app
ac221553dcf8ce47cd25ab8ad878d804,399878,2018-02-03 22:00:32.446000+00:00,91630,91652,1,3,267535.0,Not VIP,9,3,0.0,9,Yes,No,No,,,Yes,3,1,1,Yes,104006,1246,"Trousers, overalls, shorts",15,23,71,Clothing,web
3e5a620153e76d75a7c437546e4f0cd4,374040,2018-01-11 18:41:28.060000+00:00,2765,2768,2,2,79153.0,Not VIP,4,3,0.0,4,No,No,No,T4,T4,No,3,1,1,No,23740,406,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",15,62,3,Clothing,web
1188a6c7a7ff2bd7ea50a4f708996ca6,403088,2018-01-13 07:45:28.163000+00:00,59432,59446,2,2,158355.0,Not VIP,15,4,12.9314,15,Yes,No,No,T4,T4,No,3,1,1,No,66216,17,,106,20,2,Clothing,app
ef6c85ce4d9cf4bc08910abdb1729e35,373382,2018-02-07 14:32:04.466000+00:00,88132,88154,2,2,134730.0,Not VIP,1,1,5.0083,1,No,No,No,T3,T3,Yes,4,1,1,No,109450,11,,147,4,3,Clothing,web
2cab658e11ce5a5ae950d3a8e2197386,44112,2018-01-08 07:54:33.416000+00:00,53644,53656,4,2,38335.0,VIP,19,4,0.0,19,Yes,No,No,T2,T2,Yes,3,921,1,Yes,184053,530,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",12,2,10,Teen Girl Clothing,
34309667d12b1fc9a235db111dd98747,389270,2018-01-21 23:08:21.946000+00:00,7272,7277,2,2,131585.0,Not VIP,3,2,26.8028,3,Yes,No,No,T3,T3,No,4,1,1,No,104273,105,Other footwear with outer soles of leather,106,1,12,Shoes,web
60e0496a008faa810c340e12e466c3f5,377531,2018-02-03 12:01:11.760000+00:00,44976,44989,2,2,256473.0,Not VIP,1,1,5.0083,1,No,No,No,T4,T4,No,3,1,1,Yes,49671,807,Footwear with outer soles of leather or composition leather,349,1,38,Shoes,web
1e772b7d2b4d73f46df1c69186c7af03,392111,2018-01-10 07:39:28.590000+00:00,2052,2055,2,2,263805.0,Not VIP,5,3,0.0,5,Yes,No,No,T4,T4,No,3,921,1,Yes,2109,9,Other footwear,95,1,77,Shoes,app
c0c63df5e15910353822ca51ab8671ca,400936,2018-01-24 21:12:58.493000+00:00,38746,38756,2,2,268007.0,Not VIP,1,1,13.8528,1,No,No,No,,,No,4,1,1,Yes,42571,14,,60,1,30,Shoes,web
b7c9c34f5978853c19e36f4b1162d9a8,403842,2018-01-20 02:49:09.620000+00:00,31580,31588,2,2,269327.0,Not VIP,1,1,5.0083,1,Yes,No,Yes,T4,T4,No,3,1,1,No,91822,52,Other footwear with outer soles of leather,349,1,38,Shoes,web
4212c50209d7bf1bb6da114099bf21dd,383566,2018-01-08 15:24:04.533000+00:00,66301,66318,1,1,61074.0,Not VIP,31,1,0.0,31,Yes,No,Yes,,,Yes,3,921,1,Yes,74175,787,"Trousers, overalls, shorts",1,46,120,Clothing,web
2f451aa33d98baf64b9a7e1932cd1c81,371492,2018-02-02 15:14:38.330000+00:00,14730,14737,2,2,253403.0,Not VIP,14,3,41.4036,14,Yes,No,Yes,,,No,3,1,1,Yes,15672,5,Footwear with outer soles of rubber or plastics,606,1,36,Shoes,web
73d1b9f3b4ec61f8c7f572069c68bf74,201726,2018-01-28 06:58:28.990000+00:00,98305,98328,4,2,150081.0,Not VIP,19,4,0.0,19,Yes,No,No,T2,T4,Yes,3,1,1,No,38556,92,"Ties, bow ties and cravats",155,1,6,Accessories,web
fe0626c56b993dd62148ee9d3db7d88c,94064,2018-01-11 13:00:44.796000+00:00,27751,27759,4,2,76642.0,VIP New,1,1,5.0083,1,Yes,No,No,T2,T2,Yes,3,924,1,Yes,642,5,,101,20,36,Shoes,web
a5e989a6ecabf053b745fcd648c62c15,401885,2018-01-18 13:29:58.083000+00:00,97318,97341,4,4,268423.0,Not VIP,7,1,0.0,7,Yes,No,No,,,Yes,4,1,0,Yes,110961,239,N/D,261,44,322,Shoes,web
e2bb41d4bc60c1a61216a93f23f246ad,30960,2018-01-06 08:46:31.666000+00:00,128386,128416,1,3,27380.0,VIP,11,3,0.0,11,Yes,No,Yes,T2,T2,Yes,3,1,1,Yes,149532,5,Items of leather clothing & accessories,8,1,18,Clothing,web
197559967b14279a504f8f1018607491,48530,2018-01-08 10:28:51.230000+00:00,2958,2961,2,2,41933.0,Not VIP,5,3,0.0,5,Yes,No,No,T4,T4,Yes,4,921,1,Yes,7327,105,Footwear with outer soles of rubber or plastics,270,1,72,Shoes,web
ab56b290672e870869ef76a879d1466d,275737,2018-02-10 10:27:40.283000+00:00,123350,123380,2,2,196199.0,Not VIP,12,4,31.0431,12,Yes,No,Yes,T2,T3,Yes,3,1,1,No,143245,247,N/D,1198,2,184,Shoes,app
09bd66d7c2122f462c8c0cd51e6da6dd,395834,2018-01-19 05:52:37.120000+00:00,48278,48290,3,8,265593.0,Not VIP,1,1,0.0,1,Yes,No,No,T2,T2,No,3,1,1,No,53424,92,Other footwear with outer soles of leather,120,1,28,Shoes,web
71664b3ded4770b27e5511c402910066,375564,2018-01-22 11:53:44.550000+00:00,116422,116451,1,1,255479.0,Not VIP,1,1,0.0,1,Yes,No,Yes,T4,T4,Yes,3,1,1,No,134507,868,"Trousers, overalls, shorts",27,14,220,Clothing,web
8829dd2fa87e8f1c850c20048b571dbb,131501,2018-01-16 03:52:41.376000+00:00,153771,153803,4,4,103250.0,Not VIP,7,1,0.0,7,Yes,No,Yes,T2,T3,No,7,1,0,Yes,180980,239,N/D,261,44,128,Shoes,
e72103d881421a597eabbdcd26528ed6,386221,2018-02-06 14:25:36.913000+00:00,14479,14486,2,2,194144.0,Not VIP,4,3,0.0,4,Yes,No,No,,,No,4,1,1,No,15395,37,,36,2,24,Clothing,web
87a7bbccac1d2267e834f1f77d1bcac9,377138,2018-01-08 08:39:16.003000+00:00,61454,61469,1,3,48266.0,VIP,24,3,0.0,24,Yes,No,Yes,T2,T2,Yes,3,921,1,Yes,68583,847,,152,21,47,Clothing,web
c1120452519972624eaf9e98b9e65f2c,397399,2018-01-12 07:44:29.973000+00:00,2429,2432,2,2,266369.0,Not VIP,18,4,0.0,18,Yes,No,Yes,,,No,3,924,1,Yes,2497,83,Footwear with outer soles of rubber or plastics,236,11,31,Shoes,web
081db0e1cbd0e6306995c38f64707062,164758,2018-01-21 20:39:24.403000+00:00,23793,23801,2,2,125967.0,VIP New,4,3,0.0,4,Yes,No,Yes,VIP,VIP,Yes,3,1,1,Yes,25666,87," T-shirts, singlets and other vests",239,1,35,Clothing,web
81470773881788644b73b0e6db20da8c,45532,2018-01-08 08:37:58.673000+00:00,37870,37880,2,2,39490.0,Not VIP,24,3,0.0,24,Yes,No,Yes,T4,T4,Yes,3,921,1,Yes,41561,87,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",339,2,6,Accessories,app
e5e5004ef654a807b3a3f97ce6164428,376902,2018-01-20 15:33:24.056000+00:00,65855,65872,2,2,50177.0,Not VIP,39,4,7.6715,39,Yes,No,No,T4,T4,No,3,1,1,Yes,73668,386,Other footwear,197,1,38,Shoes,app
ce84a25e65ed01a854170f84b81b2eca,386503,2018-02-16 18:07:11.850000+00:00,45981,45994,1,3,261004.0,Not VIP,4,3,0.0,4,No,No,No,,,No,3,1,1,Yes,37321,20,"Trousers, overalls, shorts",338,4,3,Clothing,web
24e0c4281f847600103dec1a24f33774,395335,2018-01-23 17:58:31.673000+00:00,65791,65808,2,2,61285.0,VIP New,1,1,5.0083,1,Yes,No,Yes,VIP,VIP,Yes,6,1,1,No,77767,81,Other footwear,448,1,12,Shoes,web
